company_id,company,country,country_code,region,sector,stage,reference_type,dominant_topics
CMP-078,FlutterNorth,Canada,CA,North America,Cross-Platform Apps,seed,synthetic_company,"Ionic, Kotlin Android, React Native, Xamarin"
CMP-079,NativeSignal,United States,US,North America,Native Mobile,series_b,synthetic_company,"Flutter, Ionic, React Native, Xamarin"
CMP-080,QAFlow Labs,India,IN,Asia,Test Automation,series_a,synthetic_company,"Cypress, JUnit, Selenium, TestNG"
CMP-081,TestPilot Cloud,United States,US,North America,Quality Platforms,series_b,synthetic_company,"Cypress, JUnit, TestNG, Vitest"
CMP-082,VitestWorks,France,FR,Europe,Frontend Testing,seed,synthetic_company,"JUnit, Jest, TestNG, Vitest"
CMP-083,PipelineFoundry,United States,US,North America,CI/CD,series_b,synthetic_company,"ELK Stack, GitHub Actions, GitLab CI/CD, Jenkins"
CMP-084,ObservaCloud,Germany,DE,Europe,Observability,series_a,synthetic_company,"ArgoCD, GitHub Actions, GitLab CI/CD, Jenkins"
CMP-085,GitOpsGarden,United Kingdom,UK,Europe,GitOps Platforms,seed,synthetic_company,"ArgoCD, GitLab CI/CD, Jenkins, Prometheus"
CMP-086,StreamForge,United States,US,North America,Event Streaming,series_b,synthetic_company,"Apache Kafka, NATS, RabbitMQ, Redis Streams"
CMP-087,NATSWorks,Canada,CA,North America,Edge Messaging,series_a,synthetic_company,"Apache Kafka, Apache Pulsar, RabbitMQ, Redis Streams"
CMP-088,QueueVista,India,IN,Asia,Messaging Middleware,series_a,synthetic_company,"Apache Pulsar, NATS, RabbitMQ, Redis Streams"
CMP-089,IdentityMesh,United States,US,North America,Identity Security,series_b,synthetic_company,"JWT, OWASP Security, Vault, Zero-Trust Security"
CMP-090,ZeroTrustOps,United States,US,North America,Zero Trust,series_a,synthetic_company,"JWT, OAuth 2.0 / OpenID Connect, OWASP Security, Zero-Trust Security"
CMP-091,VaultBridge,Germany,DE,Europe,Secrets Automation,seed,synthetic_company,"OAuth 2.0 / OpenID Connect, OWASP Security, SAML, Zero-Trust Security"
CMP-092,DesignOps Studio,United Kingdom,UK,Europe,Design Operations,series_a,synthetic_company,"Bootstrap, Figma, Material Design, Tailwind CSS"
CMP-093,A11yWorks,Canada,CA,North America,Accessibility Tooling,seed,synthetic_company,"Bootstrap, Chakra UI, Material Design, Tailwind CSS"
CMP-094,TailwindCraft,India,IN,Asia,Frontend Design,series_a,synthetic_company,"Bootstrap, Chakra UI, Material Design, Storybook"
CMP-095,WasmForge,United States,US,North America,WebAssembly Tooling,series_a,synthetic_company,"API-First Development, Blockchain Dev, Low-Code/No-Code, WebAssembly"
CMP-096,QuantumPilot,United States,US,North America,Quantum Software,seed,synthetic_company,"API-First Development, Blockchain Dev, Quantum Computing, WebAssembly"
CMP-097,XRFoundry,Japan,JP,Asia,AR/VR Platforms,series_a,synthetic_company,"AR/VR Development, Blockchain Dev, Quantum Computing, WebAssembly"
CMP-098,IoTMesh Labs,China,CN,Asia,IoT Platforms,series_b,synthetic_company,"AR/VR Development, Blockchain Dev, IoT Development, Quantum Computing"
CMP-099,EdgeNova Systems,Singapore,SG,Asia,Edge Computing,series_b,synthetic_company,"AR/VR Development, Edge Computing, IoT Development, Quantum Computing"
CMP-100,NoCodeOps,United States,US,North America,Low-Code Automation,series_a,synthetic_company,"AR/VR Development, Edge Computing, IoT Development, Serverless Architecture"
CMP-101,ModelSignal,United States,US,North America,ML Platforms,series_b,synthetic_company,"LangChain, PyTorch, TensorFlow, Transformers"
CMP-102,TorchServeOps,Canada,CA,North America,ML Serving,series_a,synthetic_company,"LangChain, PyTorch, TensorFlow, Transformers"
CMP-103,PromptOps Labs,United Kingdom,UK,Europe,AI Applications,seed,synthetic_company,"LangChain, PyTorch, TensorFlow, Transformers"
CMP-104,PolarsBench,Germany,DE,Europe,Data Science Tools,seed,synthetic_company,"Pandas, Polars, Spark"
CMP-105,NotebookOps,India,IN,Asia,Analytics Workspaces,series_a,synthetic_company,"Pandas, Polars, Spark"
CMP-106,CommerceMesh,United States,US,North America,Commerce Platforms,series_b,synthetic_company,"Drupal, Shopify, WordPress"
CMP-107,HeadlessWorks,France,FR,Europe,Headless CMS,series_a,synthetic_company,"Drupal, Shopify, WordPress"
CMP-108,LegacyCMS Rescue,United Kingdom,UK,Europe,CMS Modernization,seed,synthetic_company,"Drupal, Shopify, WordPress"
CMP-109,OpenSourceDesk,India,IN,Asia,Developer Communities,series_a,synthetic_company,Developer Tools
CMP-110,RegionalSkill Labs,United Arab Emirates,AE,Middle East,Education Analytics,seed,synthetic_company,Developer Tools
